Algorithm,Param,Value,Hit@5
k-NN,k,1,0.3765432098765432
k-NN,k,3,0.3953727506426735
k-NN,k,5,0.4107969151670951
k-NN,k,7,0.4077120822622108
k-NN,k,10,0.4190231362467866
DT,depth,3,0.46118251928020565
DT,depth,5,0.39125964010282777
DT,depth,8,0.35681233933161954
DT,depth,10,0.3794344473007712
DT,depth,15,0.38508997429305913
AB,n_est,10,0.49254498714652956
AB,n_est,30,0.4282776349614396
AB,n_est,50,0.425706940874036
AB,n_est,75,0.42005141388174805
AB,n_est,100,0.4138817480719794
