sauce,trained,accuracy,auc,f1,n_samples,n_positive,positive_rate
Crazy Sauce,True,0.7830482115085536,0.4858161329475037,0.0,6431,1326,0.20618877313015083
Cheddar Sauce,True,0.8755832037325039,0.5019066385435169,0.0,6431,832,0.12937334784636914
Extra Cheddar Sauce,True,0.9984447900466563,0.49805295950155765,0.0,6431,20,0.0031099362463069507
Garlic Sauce,True,0.9004665629860031,0.4516441332037996,0.0,6431,596,0.09267610013994713
Tomato Sauce,True,0.9720062208398134,0.5923666666666668,0.0,6431,171,0.026589954905924428
Blueberry Sauce,True,0.9090202177293935,0.4857098988835516,0.0,6431,580,0.09018815114290157
Spicy Sauce,True,0.9393468118195957,0.6040817626082526,0.0,6431,313,0.048670502254703776
Pink Sauce,True,0.9782270606531882,0.5157846922552805,0.0,6431,116,0.018037630228580313
