K,Model,hit_rate,precision,recall,mrr,ndcg
1,LR,0.35962566844919786,0.35962566844919786,0.3128787878787878,0.5705436720142603,0.35962566844919786
1,Baseline,0.3582887700534759,0.3582887700534759,0.310204991087344,0.5715017825311943,0.3582887700534759
3,LR,0.7513368983957219,0.2758467023172906,0.7111408199643494,0.5705436720142603,0.5609537295632782
3,Baseline,0.7366310160427807,0.2709447415329769,0.6975490196078431,0.5715017825311943,0.5536184719815522
5,LR,0.9344919786096256,0.2144385026737968,0.9175133689839572,0.5705436720142603,0.6498870995059186
5,Baseline,0.9425133689839572,0.21604278074866312,0.9250891265597149,0.5715017825311943,0.6515861908785425
